Pais,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-21,2021
Canada,1.94,2.13,2.40,2.57,2.52,2.57,2.60,2.73,2.63,2.77,2.56,2.48,2.60,2.45,2.68,2.90,2.72,2.95,3.40,3.62,3.72,3.92,4.32,4.75,5.15,5.50,5.54,5.75,5.96,6.14,6.35,6.46,6.51,6.34,6.36,6.45,6.46,6.29,5.99,5.58,5.39,5.44,5.41,5.47,5.72,5.79,5.94,6.17,6.36,6.11,5.97,6.20,4.3%,1.3%,4.3%
Mexico,0.40,0.39,0.41,0.44,0.47,0.47,0.46,0.49,0.62,0.75,0.90,0.97,1.04,1.05,1.03,1.00,0.89,0.90,0.91,0.88,0.95,0.96,0.93,1.00,1.05,1.05,1.11,1.12,1.19,1.23,1.20,1.19,1.21,1.25,1.33,1.60,1.74,1.69,1.70,1.89,1.84,1.88,1.83,1.89,1.85,1.73,1.57,1.38,1.27,1.13,1.10,1.05,-3.8%,-5.6%,0.7%
US,20.57,21.16,21.09,21.07,20.14,18.65,18.50,18.58,18.50,19.06,18.90,18.71,17.39,15.76,17.10,16.12,15.71,16.27,16.71,16.95,17.40,17.31,17.45,17.65,18.37,18.12,18.37,18.42,18.62,18.36,18.67,19.15,18.40,18.64,18.11,17.62,18.06,18.79,19.66,20.07,20.71,22.22,23.37,23.60,25.37,26.65,26.18,26.86,30.27,33.41,32.97,33.63,2.3%,4.2%,23.1%
Argentina,0.21,0.23,0.22,0.24,0.25,0.27,0.26,0.27,0.27,0.25,0.29,0.31,0.34,0.46,0.47,0.49,0.54,0.53,0.63,0.66,0.62,0.70,0.70,0.75,0.78,0.88,1.01,0.96,1.04,1.21,1.31,1.30,1.26,1.44,1.57,1.60,1.61,1.57,1.54,1.45,1.40,1.36,1.32,1.24,1.24,1.28,1.34,1.34,1.42,1.50,1.38,1.39,1.1%,0.2%,1.0%
Bolivia,^,^,0.04,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.09,0.10,0.10,0.10,0.09,0.09,0.09,0.10,0.10,0.11,0.11,0.11,0.10,0.10,0.11,0.11,0.11,0.09,0.10,0.08,0.11,0.16,0.21,0.24,0.34,0.42,0.45,0.48,0.50,0.43,0.49,0.54,0.62,0.70,0.73,0.70,0.68,0.66,0.61,0.54,0.52,0.54,4.7%,♦,0.4%
Brazil,^,^,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.03,0.05,0.06,0.07,0.09,0.11,0.12,0.12,0.12,0.11,0.12,0.13,0.16,0.17,0.19,0.21,0.22,0.23,0.28,0.28,0.28,0.34,0.37,0.41,0.40,0.41,0.42,0.52,0.44,0.54,0.62,0.71,0.79,0.84,0.86,0.87,0.98,0.91,0.93,0.87,0.88,0.7%,3.5%,0.6%
Colombia,0.04,0.05,0.06,0.06,0.06,0.05,0.05,0.06,0.08,0.09,0.10,0.11,0.12,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.16,0.20,0.23,0.20,0.21,0.21,0.22,0.21,0.22,0.23,0.24,0.26,0.31,0.36,0.39,0.38,0.41,0.48,0.44,0.42,0.43,0.42,0.45,0.45,0.45,0.45,1.2%,1.8%,0.3%
Peru,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.06,0.09,0.13,0.13,0.26,0.41,0.43,0.45,0.47,0.46,0.50,0.47,0.46,0.49,0.44,0.41,-5.4%,♦,0.3%
Trinidad & Tobago,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.09,0.09,0.10,0.11,0.14,0.14,0.15,0.15,0.16,0.16,0.19,0.19,0.20,0.20,0.19,0.22,0.25,0.27,0.30,0.33,0.33,0.41,0.50,0.53,0.62,0.91,1.03,1.08,1.28,1.36,1.35,1.39,1.45,1.39,1.39,1.39,1.37,1.29,1.13,1.15,1.22,1.24,1.06,0.89,-15.9%,-4.4%,0.6%
