Pais,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020,2009-19,2020
Canada,2.4,2.5,2.5,2.5,2.7,2.7,2.7,2.6,2.6,2.7,2.7,2.6,2.6,2.2,1.9,1.9,1.9,1.8,1.7,1.7,1.6,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.6,1.9,1.8,1.9,1.9,1.9,2.1,2.0,2.0,1.9,2.0,2.4,18.0%,1.9%,1.3%
Mexico,1.8,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.8,1.8,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,♦,-6.1%,0.1%
US,5.4,5.5,5.5,5.4,5.4,5.2,5.2,5.1,4.6,4.5,4.6,4.5,4.5,4.4,4.4,4.5,4.5,4.5,4.4,4.5,4.8,5.0,5.1,5.1,5.2,5.5,5.7,6.4,6.6,7.4,8.3,9.1,8.4,9.2,10.0,8.3,8.7,11.9,12.9,12.6,12.6,♦,5.5%,6.7%
Argentina,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,♦,0.5%,0.2%
Bolivia,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,♦,-2.4%,0.1%
Brazil,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,-7.1%,-0.1%,0.2%
Colombia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,♦,-4.0%,♦
Peru,^,^,^,^,^,^,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,-5.1%,-1.7%,0.1%
Trinidad & Tobago,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1%,-3.1%,0.2%
Venezuela,1.4,1.5,1.6,1.7,1.8,1.9,2.9,3.2,3.2,3.3,3.8,4.0,4.1,4.1,4.4,4.5,4.5,4.6,4.6,4.6,4.6,4.6,4.6,4.7,4.8,4.8,5.2,5.4,5.5,5.6,6.1,6.1,6.2,6.2,6.2,6.3,6.4,6.3,6.3,6.3,6.3,♦,1.1%,3.3%
Other S. & Cent. America,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-0.9%,-1.9%,♦
Denmark,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,^,^,^,^,^,^,^,^,^,^,-5.4%,-7.8%,♦
Germany,0.3,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,^,^,^,^,^,^,^,-9.8%,-12.9%,♦
Italy,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,^,^,^,^,^,^,-2.8%,-3.2%,♦
Netherlands,2.0,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.2,1.1,0.8,0.8,0.7,0.7,0.7,0.6,0.2,0.1,0.1,♦,-20.1%,0.1%
Norway,0.4,0.4,0.3,0.4,0.4,0.5,0.4,1.2,1.7,1.7,1.7,1.3,1.4,1.3,1.3,1.3,1.5,1.2,1.2,1.2,1.2,2.2,2.1,2.4,2.4,2.3,2.3,2.3,2.2,2.0,2.0,2.1,2.1,2.0,1.9,1.8,1.8,1.7,1.6,1.5,1.4,-6.8%,-2.8%,0.8%
Poland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,♦,-1.2%,♦
Romania,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,♦,-3.2%,♦
Ukraine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,1.2,1.1,1.1,1.1,1.1,1.0,1.1,1.1,1.1,♦,3.9%,0.6%
United Kingdom,0.7,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,♦,-3.0%,0.1%
Other Europe,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3%,-3.6%,♦
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,^,1.3,1.3,1.3,1.3,2.1,2.5,2.5,♦,9.4%,1.3%
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,2.3,2.3,2.3,2.3,2.3,♦,2.8%,1.2%
Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,33.9,34.7,34.7,34.5,33.7,33.4,33.6,33.4,32.9,33.2,33.4,33.9,33.8,33.6,33.8,33.8,33.9,34.0,34.0,34.1,34.5,34.6,34.9,35.0,35.0,34.8,37.9,37.6,37.6,37.4,-0.4%,1.0%,19.9%
Turkmenistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,5.7,5.7,7.9,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,♦,5.6%,7.2%
USSR,20.5,21.7,22.4,23.0,24.0,25.6,26.2,26.7,27.2,33.3,34.9,2.4,2.4,3.4,3.9,4.1,3.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Uzbekistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,♦,-0.3%,0.4%
Other CIS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,-4.1%,-5.7%,♦
Bahrain,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,-16.1%,-9.9%,♦
Iran,13.3,13.3,13.3,13.3,13.2,13.2,13.2,13.1,13.4,16.1,16.1,18.7,19.6,19.6,19.6,18.3,21.7,21.7,22.8,24.4,25.4,25.4,26.0,26.9,26.8,26.0,25.4,26.6,28.0,28.0,32.3,32.8,31.9,32.1,32.1,31.6,31.8,31.9,32.0,32.1,32.1,♦,1.4%,17.1%
Iraq,0.7,0.7,0.8,0.8,0.8,0.8,0.8,1.0,2.6,3.0,3.0,2.9,2.9,2.9,3.0,3.2,3.2,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.6,3.6,3.5,3.5,3.5,♦,1.6%,1.9%
Israel,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.4,0.6,0.6,3.9%,20.5%,0.3%
